gene	drug
HLA-A	FENOFIBRATE
HLA-A	CLAVULANIC ACID
HLA-A	TICLOPIDINE
HLA-A	DAPSONE
HLA-A	AMOXICILLIN
HLA-A	ZONISAMIDE
HLA-A	IPILIMUMAB
HLA-A	BACAMPICILLIN
HLA-A	SERTRALINE
HLA-A	AMPICILLIN
HLA-A	VANCOMYCIN
HLA-A	TERBINAFINE
HLA-A	LEVETIRACETAM
HLA-A	CARBAMAZEPINE
HLA-A	RIBAVIRIN
HLA-B	AMOXICILLIN
HLA-B	OXCARBAZEPINE
HLA-B	FOSPHENYTOIN
HLA-B	LAMIVUDINE
HLA-B	RIBAVIRIN
HLA-B	CARBIMAZOLE
HLA-B	CLOZAPINE
HLA-B	TICLOPIDINE
HLA-B	PAZOPANIB
HLA-B	CLAVULANIC ACID
HLA-B	CLINDAMYCIN
HLA-B	ABACAVIR
HLA-B	STAVUDINE
HLA-B	ACETAZOLAMIDE
HLA-B	THALIDOMIDE
HLA-B	SULFASALAZINE
HLA-B	TRICHLOROETHYLENE
HLA-B	PHENYTOIN
HLA-B	CARBAMAZEPINE
HLA-B	FLOXACILLIN
HLA-B	MINOCYCLINE
HLA-B	METHAZOLAMIDE
HLA-B	DAPSONE
HLA-B	METHIMAZOLE
HLA-C	CLOZAPINE
HLA-C	RIBAVIRIN
HLA-C	GEMCITABINE
HLA-C	AMOXICILLIN
HLA-C	METHOTREXATE
HLA-C	LAMOTRIGINE
HLA-C	CARBOPLATIN
HLA-C	CLAVULANIC ACID
HLA-C	METHAZOLAMIDE
HLA-C	USTEKINUMAB
HLA-C	FLOXACILLIN
HLA-C	TICLOPIDINE
HLA-DQB1	TICLOPIDINE
HLA-DQB1	CLAVULANIC ACID
HLA-DQB1	NEVIRAPINE
HLA-DQB1	AMOXICILLIN
HLA-DQB1	LAMOTRIGINE
HLA-DQB1	ASPIRIN
HLA-DQB1	FLOXACILLIN
HLA-DQB1	CARBAMAZEPINE
HLA-DQB1	ACETAMINOPHEN
HLA-DRA	NIVOLUMAB
HLA-DRA	CLAVULANIC ACID
HLA-DRA	ATEZOLIZUMAB
HLA-DRA	PEMBROLIZUMAB
HLA-DRA	AMOXICILLIN
HLA-DRA	FLOXACILLIN
HLA-DRB1	ATORVASTATIN
HLA-DRB1	TICLOPIDINE
HLA-DRB1	LAPATINIB
HLA-DRB1	ROSUVASTATIN
HLA-DRB1	PITAVASTATIN
HLA-DRB1	LAMOTRIGINE
HLA-DRB1	AZATHIOPRINE
HLA-DRB1	OXCARBAZEPINE
HLA-DRB1	CARBAMAZEPINE
HLA-DRB1	INFLIXIMAB
HLA-DRB1	EFAVIRENZ
HLA-DRB1	FLUVASTATIN
HLA-DRB1	DAPSONE
HLA-DRB1	CLAVULANIC ACID
HLA-DRB1	ASPARAGINASE
HLA-DRB1	PRAVASTATIN
HLA-DRB1	MERCAPTOPURINE
HLA-DRB1	ETANERCEPT
HLA-DRB1	SIMVASTATIN
HLA-DRB1	ADALIMUMAB
HLA-DRB1	DABRAFENIB
HLA-DRB1	FLOXACILLIN
HLA-DRB1	PROPYLTHIOURACIL
HLA-DRB1	AMOXICILLIN
HLA-DRB1	CARBIMAZOLE
HLA-DRB1	METHIMAZOLE
HLA-DRB1	ASPIRIN
HLA-DRB5	AMOXICILLIN
HLA-DRB5	CLAVULANIC ACID
HLA-DRB5	CLOZAPINE
HLA-E	INFLIXIMAB
HLA-E	ADALIMUMAB
HLA-E	ETANERCEPT
HLA-E	METHOTREXATE
HLA-G	FLUOROURACIL
HLA-G	METHOTREXATE
HLA-G	CAPECITABINE
HLA-DPB1	ASPIRIN
HLA-DPB1	CLOZAPINE
