gene	drug
ATM	EVEROLIMUS
ATM	DIPYRIDAMOLE
ATM	CAFFEINE
ATM	CYCLOPHOSPHAMIDE
ATM	TALAZOPARIB
ATM	DOXORUBICIN
ATM	BINIMETINIB
ATM	IRINOTECAN
ATM	NIRAPARIB
ATM	PERMETHRIN
ATM	RUCAPARIB
ATM	FLUOROURACIL
ATM	MITOTANE
ATM	VANDETANIB
ATM	PACLITAXEL
ATM	TEMOZOLOMIDE
ATM	ETOPOSIDE
ATM	METFORMIN
ATM	IBRUTINIB
ATM	CISPLATIN
ATM	ESTRADIOL BENZOATE
ATM	NAFTIFINE HYDROCHLORIDE
ATM	TRAMETINIB
ATM	OLAPARIB
ATM	BENDAMUSTINE
RUNX1	TAMOXIFEN CITRATE
RUNX1	DOXORUBICIN
RUNX1	IMATINIB
RUNX1	PYROGALLOL
RUNX1	DISULFIRAM
RUNX1	DAUNORUBICIN
RUNX1	CYTARABINE
RUNX1	CETIRIZINE HYDROCHLORIDE
CHD4	VORINOSTAT
CREBBP	MIDAZOLAM
CREBBP	ESTAZOLAM
CREBBP	PAPAVERINE
CREBBP	COLCHICINE
CREBBP	ALPRAZOLAM
EZH2	DABRAFENIB
EZH2	VORINOSTAT
EZH2	DOXORUBICIN
SUMO2	HEXACHLOROPHENE
SUMO1	CEFIXIME
SUMO1	HEXACHLOROPHENE
SUMO1	CEFDINIR
KMT2D	BICALUTAMIDE
NCOA1	TAMOXIFEN
NCOA1	ETOPOSIDE
KAT2B	AMPHETAMINE
KAT2B	COCAINE
NCOR2	BENZBROMARONE
HDAC5	DAUNORUBICIN
HDAC5	PANOBINOSTAT LACTATE
HDAC5	ROMIDEPSIN
HDAC5	VORINOSTAT
HDAC5	PANOBINOSTAT
HDAC5	VALPROIC ACID
HDAC5	PHENYLBUTANOIC ACID
HDAC5	BELINOSTAT
NCOA2	ESTRADIOL BENZOATE
SIRT1	NIACINAMIDE
HDAC7	PANOBINOSTAT
HDAC7	BELINOSTAT
HDAC7	VORINOSTAT
HDAC7	ROMIDEPSIN
HDAC7	VALPROIC ACID
HDAC7	PHENYLBUTANOIC ACID
HDAC7	PANOBINOSTAT LACTATE
HDAC7	DAUNORUBICIN
KMT2C	ANASTROZOLE
KMT2C	EXEMESTANE
KMT2C	LETROZOLE
