gene	drug
CHRNB4	DEXTROMETHORPHAN
CHRNB4	NICOTINE
CHRNB4	VARENICLINE
CHRNB4	PENTOLINIUM
CHRNB4	FLUOXETINE
CHRNB4	MECAMYLAMINE HYDROCHLORIDE
CHRNB4	ALCOHOL
CHRNB4	TRIMETHAPHAN CAMSYLATE
CHRNB4	PENTOLINIUM TARTRATE
ITGAL	FLUOROURACIL
ITGAL	EPOETIN ALFA
ITGAL	ETOPOSIDE
ITGAL	LOVASTATIN
ITGAL	SIMVASTATIN
ITGAL	THROMBIN
ITGAL	MYCOPHENOLATE MOFETIL
ITGAL	CYCLOSPORINE
ITGAL	SIROLIMUS
ITGAL	ROSUVASTATIN
ITGAL	CYCLOPHOSPHAMIDE
ITGAL	PITAVASTATIN
ITGAL	BUSULFAN
ITGAL	LIFITEGRAST
ITGAM	HYDROCORTISONE
ITGAM	CLARITHROMYCIN
ITGAM	PHENYLEPHRINE
ITGAM	ATORVASTATIN
ITGAM	THEOPHYLLINE
ITGAM	DIMETHYL SULFOXIDE
ITGAM	MORPHINE
ITGAM	FENTANYL
PLAU	DACARBAZINE
PLAU	CARMUSTINE
PLAU	RETINOL
PLAU	SIROLIMUS
PLAU	RAZOXANE
PLAU	ALENDRONIC ACID
PLAU	AMILORIDE
PLAU	VERAPAMIL
PLAU	FIBRINOLYSIN, HUMAN
PLAU	CISPLATIN
PLAU	ZOLEDRONIC ACID
PLAU	SARUPLASE
PLAU	FILGRASTIM
PLAU	UROKINASE
PLAU	AZACITIDINE
PLAU	CALCITRIOL
PLAU	HYDROCORTISONE
PLAU	PAPAVERINE
PLAU	ESTRADIOL
