gene	drug
CACNA1C	NIFEDIPINE
CACNA1C	CALCIUM
CACNA1C	RANOLAZINE
CACNA1C	GABAPENTIN
CACNA1C	DRONEDARONE HYDROCHLORIDE
CACNA1C	NICARDIPINE HYDROCHLORIDE
CACNA1C	DILTIAZEM MALATE
CACNA1C	AMLODIPINE BESYLATE
CACNA1C	NITRENDIPINE
CACNA1C	DRONEDARONE
CACNA1C	CITALOPRAM
CACNA1C	FISH OIL TRIGLYCERIDES
CACNA1C	CLEVIDIPINE
CACNA1C	TOPIRAMATE
CACNA1C	PHENYTOIN
CACNA1C	NIMODIPINE
CACNA1C	NISOLDIPINE
CACNA1C	GABAPENTIN ENACARBIL
CACNA1C	CINNARIZINE
CACNA1C	PREGABALIN
CACNA1C	AMLODIPINE MALEATE
CACNA1C	FELODIPINE
CACNA1C	ALCOHOL
CACNA1C	AMIODARONE
CACNA1C	BEPRIDIL HYDROCHLORIDE
CACNA1C	VERAPAMIL HYDROCHLORIDE
CACNA1C	IBUTILIDE
CACNA1C	DILTIAZEM HYDROCHLORIDE
CACNA1C	PROPIVERINE
CACNA1C	LACIDIPINE
CACNA1C	ISRADIPINE
CACNA1C	DILTIAZEM
CACNA1C	HALOPERIDOL
CACNA1C	AMLODIPINE
CACNA1C	VERAPAMIL
CACNA1C	NICARDIPINE
CACNA1C	ISAVUCONAZOLE
CACNA1C	MICONAZOLE
CACNA1C	RITODRINE
CACNA1C	ATENOLOL
CACNA1S	NIFEDIPINE
CACNA1S	SEVOFLURANE
CACNA1S	SUXAMETHONIUM
CACNA1S	GABAPENTIN
CACNA1S	DRONEDARONE HYDROCHLORIDE
CACNA1S	NICARDIPINE HYDROCHLORIDE
CACNA1S	DESFLURANE
CACNA1S	DILTIAZEM MALATE
CACNA1S	ISOFLURANE
CACNA1S	AMLODIPINE BESYLATE
CACNA1S	NITRENDIPINE
CACNA1S	DRONEDARONE
CACNA1S	CLEVIDIPINE
CACNA1S	NIMODIPINE
CACNA1S	NISOLDIPINE
CACNA1S	GABAPENTIN ENACARBIL
CACNA1S	CINNARIZINE
CACNA1S	PREGABALIN
CACNA1S	AMLODIPINE MALEATE
CACNA1S	FELODIPINE
CACNA1S	ALCOHOL
CACNA1S	PINAVERIUM
CACNA1S	BEPRIDIL HYDROCHLORIDE
CACNA1S	VERAPAMIL HYDROCHLORIDE
CACNA1S	DILTIAZEM HYDROCHLORIDE
CACNA1S	ISRADIPINE
CACNA1S	DILTIAZEM
CACNA1S	AMLODIPINE
CACNA1S	VERAPAMIL
CACNA1S	HALOTHANE
CACNA1S	ENFLURANE
CAMK2A	FOSTAMATINIB
GRIA1	SEVOFLURANE
GRIA1	SODIUM CHLORIDE
GRIA1	DESFLURANE
GRIA1	PIRACETAM
GRIA1	ISOFLURANE
GRIA1	TOPIRAMATE
GRIA1	CYCLOTHIAZIDE
GRIA1	PERAMPANEL
GRIA1	ASPARAGINASE
GRIA1	ALCOHOL
GRIA1	BUTABARBITAL
GRIA1	PHENOBARBITAL
GRIA1	HALOPERIDOL
GRIA1	LAMOTRIGINE
GRIA1	ENFLURANE
GRIN2A	AMANTADINE HYDROCHLORIDE
GRIN2A	MEPERIDINE
GRIN2A	GLYCINE
GRIN2A	KETAMINE HYDROCHLORIDE
GRIN2A	ORPHENADRINE HYDROCHLORIDE
GRIN2A	DEXTROMETHORPHAN HYDROBROMIDE
GRIN2A	ACAMPROSATE CALCIUM
GRIN2A	DEXTROMETHORPHAN POLISTIREX
GRIN2A	ESKETAMINE
GRIN2A	ESKETAMINE HYDROCHLORIDE
GRIN2A	MEMANTINE HYDROCHLORIDE
GRIN2A	ORPHENADRINE CITRATE
GRIN2A	KETAMINE
GRIN2A	HALOPERIDOL
GRIN2A	MEMANTINE
GRIN2A	FELBAMATE
GRIN2A	ACETYLCYSTEINE
GRIN2A	HALOTHANE
GRIN2A	AMANTADINE
GRIN2B	AMANTADINE HYDROCHLORIDE
GRIN2B	MEPERIDINE
GRIN2B	GLYCINE
GRIN2B	CLOZAPINE
GRIN2B	KETAMINE HYDROCHLORIDE
GRIN2B	ORPHENADRINE HYDROCHLORIDE
GRIN2B	QUETIAPINE
GRIN2B	ACAMPROSATE CALCIUM
GRIN2B	METHYLPHENIDATE
GRIN2B	TAURINE
GRIN2B	ESKETAMINE
GRIN2B	ESKETAMINE HYDROCHLORIDE
GRIN2B	RISPERIDONE
GRIN2B	MEMANTINE HYDROCHLORIDE
GRIN2B	ORPHENADRINE CITRATE
GRIN2B	IFENPRODIL
GRIN2B	KETAMINE
GRIN2B	ACAMPROSATE
GRIN2B	HALOPERIDOL
GRIN2B	MEMANTINE
GRIN2B	FELBAMATE
GRIN2B	ACETYLCYSTEINE
GRIN2B	AMANTADINE
