gene	drug
HSP90AA1	BIFONAZOLE
HSP90AA1	CHLOROXINE
HSP90AA1	HEXACHLOROPHENE
HSP90AA1	DOXORUBICIN HYDROCHLORIDE
HSP90AA1	PYRITHIONE
HSP90AA1	KETOCONAZOLE
HSP90AA1	TRICLOSAN
HSP90AA1	AMLEXANOX
HSP90AA1	HALOFANTRINE HYDROCHLORIDE
HSP90AA1	DIPYRIDAMOLE
HSP90AA1	CICLOPIROX OLAMINE
HSP90AA1	RIFABUTIN
HSP90AA1	TERCONAZOLE
HSP90AA1	COPPER
HSP90AA1	SERTACONAZOLE NITRATE
HSP90AA1	THIMEROSAL
HSP90AA1	DAUNORUBICIN HYDROCHLORIDE
HSP90AA1	FLUCONAZOLE
HSP90AA1	THONZONIUM BROMIDE
HSP90AA1	TRICLABENDAZOLE
HSP90AA1	ECONAZOLE NITRATE
HSP90AA1	SULCONAZOLE NITRATE
HSP90AA1	CLOTRIMAZOLE
HSP90AA1	NEDOCROMIL
HSP90AA1	DIACEREIN
HSP90AA1	MICONAZOLE NITRATE
HSP90AA1	ITRACONAZOLE
HSP90AA1	MICONAZOLE
HSP90AA1	BUTOCONAZOLE NITRATE
HSP90AA1	DISULFIRAM
CLASP1	FOSTAMATINIB
