term_id	term_name	query_size	intersection_size	p_value	intersection	source
GO:0016266	O-glycan processing	71	8	1.02105333583537e-07	MUC1,MUC7,B4GALT5,B3GNT2,GALNT6,C1GALT1,MUC16,MUC21	GO:BP
GO:0006493	protein O-linked glycosylation	71	9	2.03329833485147e-07	MUC1,MUC7,B4GALT5,B3GNT2,GALNT6,C1GALT1,MUC16,GALNT18,MUC21	GO:BP
GO:0006790	sulfur compound metabolic process	71	13	1.22786552545657e-06	GGT7,GPX1,GPX4,GSS,GSTA4,HEXB,IDUA,MSRA,B4GALT5,B3GNT2,AADAT,CSAD,ADO	GO:BP
GO:0070085	glycosylation	71	11	2.64809761704349e-06	FUT2,B4GALNT1,MUC1,MUC7,B4GALT5,B3GNT2,GALNT6,C1GALT1,MUC16,GALNT18,MUC21	GO:BP
GO:0009100	glycoprotein metabolic process	71	13	3.09913618082255e-06	FUT2,HEXB,IDUA,MUC1,MUC7,SGSH,B4GALT5,B3GNT2,GALNT6,C1GALT1,MUC16,GALNT18,MUC21	GO:BP
GO:0006486	protein glycosylation	71	10	1.15872956820685e-05	FUT2,MUC1,MUC7,B4GALT5,B3GNT2,GALNT6,C1GALT1,MUC16,GALNT18,MUC21	GO:BP
GO:1901135	carbohydrate derivative metabolic process	71	19	1.15872956820685e-05	FUCA1,FUT2,B4GALNT1,HEXB,IDUA,MUC1,MUC7,NAGLU,SGSH,B4GALT5,B3GNT2,GALNT6,SUMF2,AADAT,C1GALT1,MUC16,SUMF1,GALNT18,MUC21	GO:BP
GO:0043413	macromolecule glycosylation	71	10	1.15872956820685e-05	FUT2,MUC1,MUC7,B4GALT5,B3GNT2,GALNT6,C1GALT1,MUC16,GALNT18,MUC21	GO:BP
GO:1901564	organonitrogen compound metabolic process	71	49	1.23575614147472e-05	DPP4,FAP,FOLH1,FUCA1,FUT2,B4GALNT1,GGT7,GPX1,GPX4,GSS,GSTA4,HEXB,IDUA,MSRA,MUC1,MUC7,NAGLU,SETMAR,SGSH,ENC1,UNC119,VAPB,B4GALT5,NAALAD2,B3GNT2,GALNT6,PADI2,PRDX5,SUMF2,DPP7,TRHDE,AADAT,CSAD,PGPEP1,DPP8,KYAT3,BDH2,C1GALT1,SOX7,SELENOO,ADO,MUC16,AASDH,PPM1L,MSRB3,SUMF1,GALNT18,NHLRC3,MUC21	GO:BP
GO:0098869	cellular oxidant detoxification	71	7	2.10886413839912e-05	GPX1,GPX4,MPO,TXNRD1,PRDX6,TXNRD2,PRDX5	GO:BP
GO:0006643	membrane lipid metabolic process	71	9	2.47238518598939e-05	FUCA1,FUT2,B4GALNT1,HEXB,VAPB,B4GALT5,SUMF2,PPM1L,SUMF1	GO:BP
GO:0006664	glycolipid metabolic process	71	7	3.49063937070249e-05	FUCA1,FUT2,B4GALNT1,HEXB,B4GALT5,SUMF2,SUMF1	GO:BP
GO:1903509	liposaccharide metabolic process	71	7	3.49063937070249e-05	FUCA1,FUT2,B4GALNT1,HEXB,B4GALT5,SUMF2,SUMF1	GO:BP
GO:1990748	cellular detoxification	71	7	3.49063937070249e-05	GPX1,GPX4,MPO,TXNRD1,PRDX6,TXNRD2,PRDX5	GO:BP
GO:0097237	cellular response to toxic substance	71	7	4.91050761459431e-05	GPX1,GPX4,MPO,TXNRD1,PRDX6,TXNRD2,PRDX5	GO:BP
GO:0019184	nonribosomal peptide biosynthetic process	71	4	6.24857385052872e-05	GGT7,GSS,BDH2,AASDH	GO:BP
