term_id	term_name	query_size	intersection_size	p_value	intersection	source
GO:0051276	chromosome organization	331	133	6.59089034502666e-64	PARP1,APBB1,ATM,ATR,CHD4,CREBBP,PHC1,EP300,EYA4,EYA2,EYA3,EZH1,EZH2,BPTF,FEN1,GFI1,HCFC1,FOXA2,JARID2,MLH1,MSH3,MSH4,NBN,PHF1,POU5F1,PPP5C,RAD51D,KDM5A,REST,BRD2,ATXN7,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SREBF1,TOP3A,KDM6A,NSD2,XPA,XRCC5,KMT2D,DPF3,ARID1A,TRRAP,NCOA1,BANF1,KAT2B,MBD2,NCOR1,PPM1F,SETD1A,MED24,HDAC5,KAT5,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,SCMH1,KDM4B,KDM4C,SATB2,JADE2,SIRT1,SUZ12,KAT6B,SS18L1,PHF19,TAF5L,BRPF3,PHF20L1,PHF20,PHF21A,ZBTB7A,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,TET2,BCOR,NSD3,KANSL2,PRMT6,RIF1,PBRM1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SMYD2,CBX8,GATAD2B,MTA3,EP400,MIER1,GATAD1,KMT2C,ZNF335,PRDM16,NSD1,SMYD3,BRD9,BRCC3,PAGR1,CHD9,TDRD3,L3MBTL2,KAT8,SLX4,PYGO2,SGF29,HELQ,RMI2,TOP1MT,AEBP2,JDP2,CCDC155,ZFPM1,ASXL1,AGO4,KANSL1,NSMCE2,TEN1	GO:BP
GO:0006325	chromatin organization	331	110	1.59932120123439e-61	APBB1,ATM,CHD4,CREBBP,PHC1,EP300,EYA4,EYA2,EYA3,EZH1,EZH2,BPTF,GFI1,HCFC1,FOXA2,JARID2,PHF1,POU5F1,PPP5C,KDM5A,REST,BRD2,ATXN7,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SREBF1,KDM6A,NSD2,KMT2D,DPF3,ARID1A,TRRAP,NCOA1,KAT2B,MBD2,NCOR1,PPM1F,SETD1A,MED24,HDAC5,KAT5,TAF6L,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,SCMH1,KDM4B,KDM4C,SATB2,JADE2,SIRT1,SUZ12,KAT6B,SS18L1,PHF19,TAF5L,BRPF3,PHF20L1,PHF20,PHF21A,ZBTB7A,HDAC7,UIMC1,ARID4B,BRWD1,ATAD2B,TET2,BCOR,NSD3,KANSL2,PRMT6,RIF1,PBRM1,YEATS2,RCOR3,KDM3A,HDAC8,SMYD2,CBX8,GATAD2B,MTA3,EP400,MIER1,GATAD1,KMT2C,ZNF335,PRDM16,NSD1,SMYD3,BRD9,BRCC3,PAGR1,CHD9,TDRD3,L3MBTL2,KAT8,PYGO2,SGF29,AEBP2,JDP2,ZFPM1,ASXL1,KANSL1	GO:BP
GO:0090304	nucleic acid metabolic process	331	240	4.94078756678342e-58	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BARD1,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,CYP1A1,DACH1,PHC1,PHC2,EGR2,ELF2,EP300,EYA4,ESRRB,ETV3,EYA2,EYA3,EZH1,EZH2,FANCA,FANCC,FANCE,BPTF,FANCG,FEN1,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,MEF2A,MLH1,MSH3,MSH4,MSH5,NAB1,NBN,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,PPP5C,RAD51B,RAD51D,RAD52,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TOP3A,TP53BP1,SUMO1,USP1,NSD2,XPA,XRCC4,XRCC5,ZNF131,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,USP10,SCAF11,CDYL,MED27,MED7,NCOR1,NCOR2,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,POLI,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,ZC3H13,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,TNRC6A,RGCC,MED4,SAP30BP,GRHL1,SENP1,RBM15B,PHF20L1,PHF20,PHF21A,ZBTB7A,TAOK3,POLK,REV1,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,RC3H2,TET2,BCOR,ALKBH5,NSD3,PHIP,FANCL,PRMT6,RIF1,SBNO1,CWF19L1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,BRCC3,PAGR1,CBLL1,PHC3,MUS81,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,SLX4,NFATC2IP,ATP23,FAAP24,HELQ,RMI2,TOP1MT,MED12L,DACH2,AEBP2,JDP2,USP43,CCDC155,NKX2-3,ZFPM1,ASXL1,AGO4,FOXK1,BCL6B,NSMCE2,TEN1	GO:BP
GO:1901360	organic cyclic compound metabolic process	331	256	1.63285031743729e-55	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BARD1,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,CYP1A1,CYP3A7,CYP8B1,CYP24A1,CYP27B1,DACH1,DHCR7,PHC1,PHC2,EGR2,ELF2,EP300,EYA4,ESRRB,ETV3,EYA2,EYA3,EZH1,EZH2,FANCA,FANCC,FANCE,BPTF,FANCG,FDFT1,FDPS,FEN1,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,ME1,MEF2A,MLH1,MSH3,MSH4,MSH5,NAB1,NBN,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,PPP5C,RAD51B,RAD51D,RAD52,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TOP3A,TP53BP1,SUMO1,USP1,NSD2,XPA,XRCC4,XRCC5,ZNF131,HSD17B8,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,SOAT2,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,USP10,SCAF11,HACD1,CDYL,MED27,MED7,NCOR1,NCOR2,ABCG1,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,POLI,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,ZC3H13,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,DKKL1,TNRC6A,RGCC,MED4,SAP30BP,GRHL1,SENP1,RBM15B,PHF20L1,HSD17B12,PHF20,PHF21A,ZBTB7A,TAOK3,POLK,REV1,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,RC3H2,TET2,BCOR,ALKBH5,NSD3,PHIP,FANCL,PRMT6,RIF1,SBNO1,CWF19L1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ELOVL5,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,BRCC3,PAGR1,CBLL1,PHC3,MUS81,HSD3B7,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,SLX4,NFATC2IP,ATP23,FAAP24,HELQ,RMI2,TOP1MT,MED12L,DACH2,AEBP2,JDP2,USP43,CCDC155,NKX2-3,ZFPM1,ASXL1,AGO4,FOXK1,BCL6B,NSMCE2,TEN1	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	331	245	9.63062182022003e-54	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BARD1,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,CYP1A1,DACH1,PHC1,PHC2,EGR2,ELF2,EP300,EYA4,ESRRB,ETV3,EYA2,EYA3,EZH1,EZH2,FANCA,FANCC,FANCE,BPTF,FANCG,FEN1,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,ME1,MEF2A,MLH1,MSH3,MSH4,MSH5,NAB1,NBN,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,PPP5C,RAD51B,RAD51D,RAD52,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TOP3A,TP53BP1,SUMO1,USP1,NSD2,XPA,XRCC4,XRCC5,ZNF131,HSD17B8,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,USP10,SCAF11,HACD1,CDYL,MED27,MED7,NCOR1,NCOR2,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,POLI,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,ZC3H13,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,TNRC6A,RGCC,MED4,SAP30BP,GRHL1,SENP1,RBM15B,PHF20L1,HSD17B12,PHF20,PHF21A,ZBTB7A,TAOK3,POLK,REV1,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,RC3H2,TET2,BCOR,ALKBH5,NSD3,PHIP,FANCL,PRMT6,RIF1,SBNO1,CWF19L1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ELOVL5,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,BRCC3,PAGR1,CBLL1,PHC3,MUS81,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,SLX4,NFATC2IP,ATP23,FAAP24,HELQ,RMI2,TOP1MT,MED12L,DACH2,AEBP2,JDP2,USP43,CCDC155,NKX2-3,ZFPM1,ASXL1,AGO4,FOXK1,BCL6B,NSMCE2,TEN1	GO:BP
GO:0019219	regulation of nucleobase-containing compound metabolic process	331	208	6.77647665247809e-53	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BARD1,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,DACH1,PHC1,PHC2,EGR2,ELF2,EP300,EYA4,ESRRB,ETV3,EYA2,EYA3,EZH1,EZH2,FANCA,BPTF,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,MEF2A,MLH1,MSH3,NAB1,NBN,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,RAD52,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TP53BP1,SUMO1,USP1,NSD2,XPA,XRCC5,ZNF131,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,CDYL,MED27,MED7,NCOR1,NCOR2,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,TNRC6A,RGCC,MED4,SAP30BP,GRHL1,SENP1,RBM15B,PHF20L1,PHF20,PHF21A,ZBTB7A,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,RC3H2,TET2,BCOR,ALKBH5,NSD3,PHIP,PRMT6,RIF1,SBNO1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,BRCC3,PAGR1,PHC3,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,SLX4,NFATC2IP,RMI2,MED12L,DACH2,AEBP2,JDP2,NKX2-3,ZFPM1,ASXL1,FOXK1,BCL6B,TEN1	GO:BP
GO:0046483	heterocycle metabolic process	331	245	1.97503897347306e-51	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BARD1,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,CYP1A1,DACH1,PHC1,PHC2,EGR2,ELF2,EP300,EYA4,ESRRB,ETV3,EYA2,EYA3,EZH1,EZH2,FANCA,FANCC,FANCE,BPTF,FANCG,FEN1,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,ME1,MEF2A,MLH1,MSH3,MSH4,MSH5,NAB1,NBN,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,PPP5C,RAD51B,RAD51D,RAD52,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TOP3A,TP53BP1,SUMO1,USP1,NSD2,XPA,XRCC4,XRCC5,ZNF131,HSD17B8,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,USP10,SCAF11,HACD1,CDYL,MED27,MED7,NCOR1,NCOR2,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,POLI,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,ZC3H13,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,TNRC6A,RGCC,MED4,SAP30BP,GRHL1,SENP1,RBM15B,PHF20L1,HSD17B12,PHF20,PHF21A,ZBTB7A,TAOK3,POLK,REV1,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,RC3H2,TET2,BCOR,ALKBH5,NSD3,PHIP,FANCL,PRMT6,RIF1,SBNO1,CWF19L1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ELOVL5,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,BRCC3,PAGR1,CBLL1,PHC3,MUS81,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,SLX4,NFATC2IP,ATP23,FAAP24,HELQ,RMI2,TOP1MT,MED12L,DACH2,AEBP2,JDP2,USP43,CCDC155,NKX2-3,ZFPM1,ASXL1,AGO4,FOXK1,BCL6B,NSMCE2,TEN1	GO:BP
GO:0006725	cellular aromatic compound metabolic process	331	245	9.95521131170148e-51	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BARD1,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,CYP1A1,DACH1,PHC1,PHC2,EGR2,ELF2,EP300,EYA4,ESRRB,ETV3,EYA2,EYA3,EZH1,EZH2,FANCA,FANCC,FANCE,BPTF,FANCG,FEN1,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,ME1,MEF2A,MLH1,MSH3,MSH4,MSH5,NAB1,NBN,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,PPP5C,RAD51B,RAD51D,RAD52,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TOP3A,TP53BP1,SUMO1,USP1,NSD2,XPA,XRCC4,XRCC5,ZNF131,HSD17B8,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,USP10,SCAF11,HACD1,CDYL,MED27,MED7,NCOR1,NCOR2,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,POLI,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,ZC3H13,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,TNRC6A,RGCC,MED4,SAP30BP,GRHL1,SENP1,RBM15B,PHF20L1,HSD17B12,PHF20,PHF21A,ZBTB7A,TAOK3,POLK,REV1,HDAC7,UIMC1,ARID4B,RTEL1,BRWD1,ATAD2B,RC3H2,TET2,BCOR,ALKBH5,NSD3,PHIP,FANCL,PRMT6,RIF1,SBNO1,CWF19L1,YEATS2,RCOR3,KDM3A,HDAC8,YLPM1,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ELOVL5,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,BRCC3,PAGR1,CBLL1,PHC3,MUS81,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,SLX4,NFATC2IP,ATP23,FAAP24,HELQ,RMI2,TOP1MT,MED12L,DACH2,AEBP2,JDP2,USP43,CCDC155,NKX2-3,ZFPM1,ASXL1,AGO4,FOXK1,BCL6B,NSMCE2,TEN1	GO:BP
GO:0016569	covalent chromatin modification	331	80	9.95521131170148e-51	APBB1,ATM,CREBBP,PHC1,EP300,EYA4,EYA2,EYA3,EZH1,EZH2,GFI1,HCFC1,JARID2,PHF1,POU5F1,PPP5C,KDM5A,REST,ATXN7,SKI,SREBF1,KDM6A,NSD2,KMT2D,TRRAP,NCOA1,KAT2B,MBD2,PPM1F,SETD1A,MED24,HDAC5,KAT5,TAF6L,SRCAP,EHMT2,MORF4L1,BAZ1A,KDM4B,KDM4C,JADE2,SIRT1,SUZ12,KAT6B,PHF19,TAF5L,BRPF3,PHF20L1,PHF20,HDAC7,UIMC1,ARID4B,TET2,BCOR,NSD3,KANSL2,PRMT6,RIF1,YEATS2,RCOR3,KDM3A,HDAC8,SMYD2,CBX8,MTA3,EP400,MIER1,KMT2C,ZNF335,PRDM16,NSD1,SMYD3,BRCC3,PAGR1,KAT8,PYGO2,SGF29,JDP2,ASXL1,KANSL1	GO:BP
GO:1901362	organic cyclic compound biosynthetic process	331	212	2.6474954550198e-50	ACTA2,ACVR2A,PARP1,AHR,APBB1,APBB2,ATF1,ATM,ATR,BMPR1A,BMPR2,MYRF,RUNX1,CBFA2T3,CHD4,CREBBP,ATF6B,CYP1A1,CYP3A7,CYP8B1,CYP27B1,DACH1,DHCR7,PHC1,PHC2,EGR2,ELF2,EP300,ESRRB,ETV3,EZH1,EZH2,FANCA,BPTF,FDFT1,FDPS,GATA4,NR6A1,GFI1,HCFC1,HIC1,FOXA2,HNF4A,HOXA1,RBPJ,FOXK2,JARID2,FADS1,SMAD2,SMAD3,MAX,ME1,MEF2A,NAB1,NFIL3,NOTCH2,NOTCH3,NOTCH4,NPAS2,PBX1,PHF1,POU5F1,PPP5C,KDM5A,REST,TRIM27,BRD2,RORA,RORC,RXRB,ATXN7,SIM2,SKI,SMARCA1,SMARCA2,SMARCA4,SMARCC1,SMARCD2,SMARCE1,SUMO2,SREBF1,HNF1B,ZEB1,TCF12,TEAD1,TEAD3,TEF,TP53BP1,SUMO1,NSD2,XPA,XRCC5,ZNF131,HSD17B8,KMT2D,DPF3,LAGE3,ARID1A,TRRAP,TEAD2,PIAS1,NCOA1,KAT2B,MBD2,USP10,HACD1,CDYL,MED27,MED7,NCOR1,NCOR2,ABCG1,PPM1F,ZEB2,MED24,HDAC5,MAMLD1,NR1H3,NCOA2,DEAF1,KAT5,DRAP1,TAF6L,POLD3,ZMYND11,SRCAP,EHMT2,MORF4L1,BAZ1A,POLI,ATF6,SCMH1,NCOA6,KDM4C,ZNF423,MGA,SATB2,MED13L,SIRT1,ZFPM2,SUZ12,KAT6B,POU2F3,SS18L1,PHF19,ANKRD1,TAF5L,DKKL1,RGCC,MED4,SAP30BP,GRHL1,SENP1,PHF20L1,HSD17B12,PHF20,PHF21A,ZBTB7A,POLK,REV1,HDAC7,UIMC1,ARID4B,BRWD1,ATAD2B,TET2,BCOR,NSD3,PHIP,PRMT6,RIF1,SBNO1,YEATS2,RCOR3,KDM3A,HDAC8,SLC2A4RG,SMYD2,CBX8,GATAD2B,MTA3,MIER1,GATAD1,KMT2C,ELOVL5,ZNF335,PRDM16,NSD1,EBF2,SMYD3,CRTC3,BRD9,PAGR1,PHC3,HSD3B7,TDRD3,L3MBTL2,KAT8,ASCC2,MAML2,NFATC2IP,MED12L,DACH2,AEBP2,JDP2,USP43,NKX2-3,ZFPM1,ASXL1,FOXK1,BCL6B,TEN1	GO:BP
