id	DC	CC	EC
3265	0.197	0.475	0.257
387	0.183	0.464	0.148
5594	0.17	0.468	0.238
5595	0.161	0.461	0.232
3717	0.144	0.417	0.195
6774	0.138	0.436	0.156
7157	0.132	0.431	0.115
6654	0.127	0.441	0.161
1956	0.127	0.457	0.156
2885	0.121	0.441	0.156
5728	0.115	0.449	0.11
3716	0.115	0.422	0.14
5604	0.104	0.415	0.177
4067	0.098	0.427	0.119
836	0.089	0.439	0.09
10018	0.079	0.388	0.141
4233	0.076	0.434	0.105
6850	0.076	0.413	0.088
5291	0.074	0.419	0.1
2064	0.072	0.421	0.1
2475	0.072	0.411	0.088
1445	0.07	0.385	0.13
5579	0.068	0.402	0.079
4790	0.066	0.412	0.079
5921	0.064	0.393	0.076
999	0.062	0.425	0.079
8826	0.059	0.382	0.125
3560	0.055	0.399	0.097
3559	0.053	0.397	0.097
