Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Adrenergic signaling in cardiomyocytes	Circulatory system	Organismal Systems	KEGG:04261	105	17	1.31307133045041e-10	ATP1A2,ATP1B1,ATP1B3,ATP2A1,ATP2A2,ATP2B2,CACNA1C,CACNA1F,CACNA1S,CACNA2D1,CACNB1,CACNB2,CAMK2A,CAMK2G,RYR2,SLC8A1,CACNA2D3	KEGG
Aldosterone synthesis and secretion	Endocrine system	Organismal Systems	KEGG:04925	105	14	4.40482704569107e-10	ATP1A2,ATP1B1,ATP1B3,ATP2B2,CACNA1C,CACNA1F,CACNA1S,CAMK2A,CAMK2G,ITPR1,ITPR2,ITPR3,CACNA1I,CACNA1G	KEGG
Aldosterone-regulated sodium reabsorption	Excretory system	Organismal Systems	KEGG:04960	105	3	0.0303742010945349	ATP1A2,ATP1B1,ATP1B3	KEGG
Alzheimer disease	Neurodegenerative disease	Human Diseases	KEGG:05010	105	15	0.000320941059152168	ATP2A1,ATP2A2,CACNA1C,CACNA1F,CACNA1S,GRIN2A,GRIN2B,ITPR1,ITPR2,ITPR3,MAPT,NOS1,PPP3CA,PPP3CB,RYR3	KEGG
Amphetamine addiction	Substance dependence	Human Diseases	KEGG:05031	105	10	1.24642157141152e-07	CACNA1C,CAMK2A,CAMK2G,GRIA1,GRIA3,GRIN2A,GRIN2B,PPP3CA,PPP3CB,PPP1R1B	KEGG
Apelin signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04371	105	7	0.0059548058474801	ITPR1,ITPR2,ITPR3,NOS1,RYR2,RYR3,SLC8A1	KEGG
Arrhythmogenic right ventricular cardiomyopathy	Cardiovascular disease	Human Diseases	KEGG:05412	105	12	2.38331673682233e-09	ATP2A1,ATP2A2,CACNA1C,CACNA1F,CACNA1S,CACNA2D1,CACNB1,CACNB2,PKP2,RYR2,SLC8A1,CACNA2D3	KEGG
Axon guidance	Development and regeneration	Organismal Systems	KEGG:04360	105	8	0.00698526486893559	CAMK2A,CAMK2G,NFATC2,PPP3CA,PPP3CB,TRPC4,TRPC6,SSH2	KEGG
Bile secretion	Digestive system	Organismal Systems	KEGG:04976	105	5	0.0168395327131945	ATP1A2,ATP1B1,ATP1B3,SLC9A3,SLC4A4	KEGG
C-type lectin receptor signaling pathway	Immune system	Organismal Systems	KEGG:04625	105	6	0.00689254021532048	ITPR1,ITPR2,ITPR3,NFATC2,PPP3CA,PPP3CB	KEGG
Calcium signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04020	105	25	5.1349343445406e-16	ATP2A1,ATP2A2,ATP2B2,CACNA1A,CACNA1B,CACNA1C,CACNA1E,CACNA1F,CACNA1S,CAMK2A,CAMK2G,CASQ1,GRIN2A,ITPR1,ITPR2,ITPR3,NOS1,PPP3CA,PPP3CB,RYR2,RYR3,SLC8A1,STIM1,CACNA1I,CACNA1G	KEGG
cAMP signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04024	105	17	1.86498667139069e-08	ATP1A2,ATP1B1,ATP1B3,ATP2A1,ATP2A2,ATP2B2,CACNA1C,CACNA1F,CACNA1S,CAMK2A,CAMK2G,GRIA1,GRIA3,GRIN2A,GRIN2B,RYR2,PPP1R1B	KEGG
Cardiac muscle contraction	Circulatory system	Organismal Systems	KEGG:04260	105	14	1.0964112180402e-10	ATP1A2,ATP1B1,ATP1B3,ATP2A1,ATP2A2,CACNA1C,CACNA1F,CACNA1S,CACNA2D1,CACNB1,CACNB2,RYR2,SLC8A1,CACNA2D3	KEGG
Cellular senescence	Cell growth and death	Cellular Processes	KEGG:04218	105	8	0.00316015903656457	ITPR1,ITPR2,ITPR3,NFATC2,PPP3CA,PPP3CB,LIN52,LIN54	KEGG
