Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Alzheimer disease	Neurodegenerative disease	Human Diseases	KEGG:05010	90	18	3.18017344075394e-06	CSNK1A1,GSK3B,LRP6,LRP5,PSMA1,PSMA5,PSMA6,PSMB7,PSMC3,PSMD3,PSMD4,TNF,WNT3,FZD3,AXIN1,FZD6,DKK2,WNT4	KEGG
Amyotrophic lateral sclerosis	Neurodegenerative disease	Human Diseases	KEGG:05014	90	11	0.0201324035711061	DNAH9,PSMA1,PSMA5,PSMA6,PSMB7,PSMC3,PSMD3,PSMD4,TNF,DNAH11,NUP85	KEGG
Basal cell carcinoma	Cancer: specific types	Human Diseases	KEGG:05217	90	9	1.05053423360661e-06	GLI1,GLI3,GSK3B,WNT3,FZD3,AXIN1,FZD6,SUFU,WNT4	KEGG
Breast cancer	Cancer: specific types	Human Diseases	KEGG:05224	90	9	0.000660174935465161	CSNK1A1,GSK3B,LRP6,LRP5,WNT3,FZD3,AXIN1,FZD6,WNT4	KEGG
Cell cycle	Cell growth and death	Cellular Processes	KEGG:04110	90	14	5.70513609081292e-09	BUB1B,CDC25A,CDC25B,GSK3B,MCM6,ORC4,RAD21,MAD1L1,CDC14A,PTTG1,STAG1,STAG2,ORC3,CCNB3	KEGG
Cushing syndrome	Endocrine and metabolic disease	Human Diseases	KEGG:04934	90	6	0.0444707307400424	GSK3B,WNT3,FZD3,AXIN1,FZD6,WNT4	KEGG
DNA replication	Replication and repair	Genetic Information Processing	KEGG:03030	90	3	0.0444707307400424	MCM6,PRIM2,POLA2	KEGG
Gastric cancer	Cancer: specific types	Human Diseases	KEGG:05226	90	9	0.000660174935465161	CSNK1A1,GSK3B,LRP6,LRP5,WNT3,FZD3,AXIN1,FZD6,WNT4	KEGG
Hedgehog signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04340	90	6	0.000391682577959205	CSNK1A1,EVC,GLI1,GLI3,GSK3B,SUFU	KEGG
Hepatocellular carcinoma	Cancer: specific types	Human Diseases	KEGG:05225	90	9	0.00103805561022185	CSNK1A1,GSK3B,LRP6,LRP5,WNT3,FZD3,AXIN1,FZD6,WNT4	KEGG
