Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Acute myeloid leukemia	Cancer: specific types	Human Diseases	KEGG:05221	309	15	1.09021355922816e-07	BAD,CSF1R,MTOR,GRB2,HRAS,KIT,NFKB1,PIK3CB,MAPK1,MAPK3,MAP2K1,RPS6KB1,SOS1,STAT3,AKT3	KEGG
Adherens junction	Cellular community - eukaryotes	Cellular Processes	KEGG:04520	309	16	4.02246710032317e-08	RHOA,CDH1,CSNK2A2,CTNNA2,EGFR,ERBB2,IGF1R,MET,AFDN,MAPK1,MAPK3,PTPN1,RAC2,TJP1,IQGAP1,PARD3	KEGG
Adipocytokine signaling pathway	Endocrine system	Organismal Systems	KEGG:04920	309	11	0.000139969221088594	MTOR,JAK2,NFKB1,PRKAA2,PRKCQ,MAPK9,MAPK10,STAT3,TNFRSF1A,AKT3,PRKAG2	KEGG
AGE-RAGE signaling pathway in diabetic complications	Endocrine and metabolic disease	Human Diseases	KEGG:04933	309	16	3.69928683846364e-06	BCL2,CASP3,HRAS,JAK2,NFKB1,PIK3CB,PRKCB,PRKCE,MAPK1,MAPK3,MAPK9,MAPK10,STAT3,VEGFB,VEGFC,AKT3	KEGG
Aldosterone-regulated sodium reabsorption	Excretory system	Organismal Systems	KEGG:04960	309	7	0.00102804425311466	PIK3CB,PRKCB,PRKCG,MAPK1,MAPK3,SGK1,SLC9A3R2	KEGG
Alzheimer disease	Neurodegenerative disease	Human Diseases	KEGG:05010	309	22	0.0470514824396337	FAS,BAD,CASP3,CASP7,CASP8,CSNK2A2,MTOR,HRAS,MAP3K5,NFKB1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,TNFRSF1A,RB1CC1,AKT3,PPIF,PIK3R4,AMBRA1	KEGG
Amoebiasis	Infectious disease: parasitic	Human Diseases	KEGG:05146	309	9	0.0276674532918574	CASP3,IL12A,LAMA2,LAMC2,NFKB1,PIK3CB,PRKCB,PRKCG,LAMA1	KEGG
AMPK signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04152	309	10	0.0287334097653279	FOXO3,MTOR,GYS1,IGF1R,PIK3CB,PRKAA2,RHEB,RPS6KB1,AKT3,PRKAG2	KEGG
Apelin signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04371	309	16	0.000174241127215667	CDH1,MTOR,HRAS,PIK3CG,PRKAA2,PRKCE,MAPK1,MAPK3,MAP2K1,RPS6KB1,RRAS,AKT3,RRAS2,PIK3R4,PRKAG2,SPHK2	KEGG
Apoptosis	Cell growth and death	Cellular Processes	KEGG:04210	309	30	6.26549974070217e-14	FAS,BAD,BAK1,BCL2,CASP3,CASP7,CASP8,CASP10,CSF2RB,HRAS,IL3RA,LMNA,MAP3K5,NFKB1,NTRK1,PIK3CB,MAPK1,MAPK3,MAPK9,MAPK10,MAP2K1,PTPN13,TNFRSF1A,TP53,TNFRSF10A,AKT3,BCL2L11,BBC3,PIDD1,DAB2IP	KEGG
